sample_id,tile_id,biome,mae_m,rmse_m,pearson_r,absrel,delta1,delta2,delta3,oracle_mae_m,oracle_rmse_m,oracle_pearson_r,valid_pixels
potsdam_4_14_011,4_14,urban,2.2391,2.5079,0.943,0.0602,1.0,1.0,1.0,1.1713,1.6479,0.943,262144
potsdam_4_14_012,4_14,urban,5.6082,5.7836,0.747,0.1809,0.8883,1.0,1.0,0.0753,0.1716,0.747,262144
potsdam_4_14_013,4_14,urban,5.3436,5.5063,0.1577,0.1717,0.9674,1.0,1.0,0.2488,0.7024,0.1577,262144
potsdam_4_14_014,4_14,urban,3.1889,3.293,0.9662,0.0949,0.9989,1.0,1.0,0.7441,1.5172,0.9662,262144
potsdam_4_14_015,4_14,urban,2.2907,2.4226,0.9591,0.0692,1.0,1.0,1.0,0.4296,0.851,0.9591,262144
potsdam_4_14_016,4_14,urban,3.8522,4.0843,0.972,0.1015,0.9996,1.0,1.0,1.0282,1.7498,0.972,262144
potsdam_4_14_017,4_14,urban,3.2068,3.5369,0.8207,0.0965,1.0,1.0,1.0,1.1121,1.4742,0.8207,262144
potsdam_4_14_018,4_14,urban,4.1405,4.2779,0.496,0.1329,0.9944,1.0,1.0,0.4666,0.7628,0.496,262144
potsdam_4_14_019,4_14,urban,3.5985,3.8125,0.5614,0.1134,0.9985,1.0,1.0,1.0911,1.7616,0.5614,262144
potsdam_4_14_020,4_14,urban,4.5402,4.9815,0.965,0.1095,0.9996,1.0,1.0,1.3174,1.9228,0.965,262144
potsdam_4_14_021,4_14,urban,4.1251,4.4244,0.7264,0.1213,0.9948,1.0,1.0,2.9928,3.6895,0.7264,262144
potsdam_4_14_022,4_14,urban,7.8779,8.314,-0.2225,0.2402,0.5104,0.9993,1.0,4.3522,6.3645,-0.2225,262144
potsdam_4_14_023,4_14,urban,5.3241,5.724,0.4085,0.1645,0.9119,0.9997,1.0,3.6321,4.6346,0.4085,262144
potsdam_4_14_024,4_14,urban,3.388,4.1171,0.7358,0.098,0.9275,1.0,1.0,2.7826,3.7411,0.7358,262144
potsdam_4_15_000,4_15,urban,2.9427,3.1644,0.2664,0.0922,0.9873,1.0,1.0,0.095,0.2037,0.2664,262144
potsdam_4_15_001,4_15,urban,9.5544,10.9323,0.8738,0.191,0.4056,1.0,1.0,3.4323,5.0834,0.8738,262144
